,conduct,age,gender,nationality,pob,tutor/makeup,grade,admission,guardian,time_with_parents,communication_with_parents,reward_for_achievements,parent_understanding,transport_type,residence,travel time,birth_order,exercice,previous_school,mother_tongue,curriculum,sleeping time_in_pm,parenting_style,trauma,type,quality,english,amharic,arabic,geez,ict,maths,ss,gp,is,moral,hpe,art,chemistry,physics,gpa,literature,biology,geography,history,civics,ent-ship,matrik,level
80,a,13.0,m,ethiopian,ethiopia,no,7,paid,mother,a lot,strongly agree,strongly agree,strongly agree,private,bole bulbula,30-60,first child,2.0,kb academy,eth-lang,yes,9.0,authoritative,0.0,none,4.5,96.14,91.16,100.0,92.62,90.27,92.08,97.07,98.5,76.16,96.21,100.29,95.0,91.58,98.44,94.0,,,,,,,,middleschool
81,a,13.0,m,ethiopian,ethiopia,yes,7,paid,both,a lot,agree,agree,agree,private,german square,15-30,first child,2.0,gibson,eth-lang,yes,5.0,authoritarian,0.0,none,3.75,61.27,82.1,94.84,79.23,72.01,64.29,54.86,91.25,56.82,77.95,96.29,88.5,78.43,80.76,77.0,,,,,,,,middleschool
82,a,12.0,f,ethiopian,ethiopia,no,7,paid,both,a lot,strongly agree,strongly agree,agree,private,haile garment,30-60,first child,2.0,school of nations,eth-lang,yes,9.0,authoritative,0.0,none,4.25,99.17,99.63,100.0,95.36,96.19,95.5,91.92,98.5,92.17,96.79,100.33,90.5,95.16,92.59,96.0,,,,,,,,middleschool
83,b,13.0,f,ethiopian,ethiopia,no,7,paid,mother,a lot,strongly agree,strongly agree,strongly agree,private,sarbet,15-30,first child,0.0,spring of knowledge,eth-lang,yes,8.5,permissive,0.0,none,4.5,72.2,87.3,98.2,86.39,80.59,66.48,70.65,96.5,78.33,96.62,77.86,91.0,84.12,79.44,83.3,,,,,,,,middleschool
84,a,13.0,f,ethiopian,ethiopia,yes,7,scholarship,both,not much,strongly agree,strongly agree,somehow agree,private,ayertena,15-30,middle child,1.0,beteseb academy,eth-lang,no,9.0,authoritative,0.0,none,3.5,91.45,99.63,100.0,94.76,93.82,98.97,87.63,99.75,100.28,95.29,101.29,99.5,93.24,89.67,96.1,,,,,,,,middleschool
85,b,14.0,m,ethiopian,ethiopia,yes,8,paid,both,a lot,agree,agree,agree,private,lebu,15-30,last child,3.0,intellectual,for-lang,yes,7.0,uninvolved,0.0,none,3.75,83.0,58.42,98.25,58.51,76.09,67.79,62.7,93.25,65.34,80.81,78.95,85.25,72.33,73.25,75.3,,,,,,,,middleschool
86,b,15.0,m,ethiopian,ethiopia,yes,8,paid,other,a lot,strongly agree,agree,strongly disagree,service,haile garment,30-60,first child,3.0,lesperance,eth-lang,yes,8.5,authoritative,0.0,none,3.25,63.75,68.16,55.0,57.61,41.19,58.36,59.53,77.0,60.1,52.51,68.64,43.0,72.43,75.68,60.9,,,,,,,,middleschool
87,a,14.0,f,american,ethiopia,no,8,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,bole,15-30,first child,1.0,school of science,for-lang,yes,8.0,authoritarian,0.0,none,4.5,97.2,99.1,98.68,69.32,90.52,87.86,85.62,99.7,86.59,99.13,96.2,88.75,75.78,87.0,90.1,,,,,,,,middleschool
88,a,12.0,f,ethiopian,ethiopia,no,8,paid,both,a lot,strongly agree,strongly agree,somehow agree,private,bole bulbula,30-60,last child,2.0,school of nations,eth-lang,yes,8.0,authoritarian,0.0,none,4.0,98.5,93.81,99.4,94.23,96.07,95.18,95.0,96.7,92.6,96.06,97.3,95.75,91.18,97.0,95.6,,,,,,,,middleschool
89,a,14.0,m,ethiopian,ethiopia,no,8,scholarship,both,a lot,agree,agree,strongly agree,service,kality,60+,first child,3.0,akaki kality menbere,eth-lang,no,6.0,authoritative,0.0,none,4.0,88.9,96.82,100.0,100.0,96.92,92.9,94.0,97.6,90.42,95.47,95.59,96.0,91.4,96.25,95.2,,,,,,,,middleschool
90,a,14.0,f,ethiopian,ethiopia,no,8,scholarship,mother,a lot,strongly agree,agree,agree,public,gofa gabriel,30-60,last child,3.0,netsanet chora,eth-lang,no,9.0,authoritative,0.0,none,4.0,75.1,92.99,98.26,97.23,88.15,80.47,74.99,88.5,73.13,91.04,85.79,95.0,80.2,91.5,86.6,,,,,,,,middleschool
91,a,14.0,f,ethiopian,ethiopia,no,8,paid,mother,little,strongly agree,agree,strongly agree,private,kara kore,30-60,first child,0.0,beteseb academy,eth-lang,yes,8.0,authoritative,0.0,none,4.0,96.45,94.05,99.43,99.14,89.46,84.74,88.79,97.9,86.49,95.25,88.48,97.25,88.58,97.0,93.1,,,,,,,,middleschool
92,b,14.0,f,ethiopian,ethiopia,no,8,scholarship,mother,a lot,strongly agree,agree,somehow agree,service,lafto,30-60,last child,1.0,emmanuel,eth-lang,yes,7.0,authoritarian,0.0,none,3.75,86.7,93.21,98.29,98.29,90.03,91.53,88.1,92.15,78.95,91.31,91.97,95.0,87.4,88.63,90.8,,,,,,,,middleschool
93,a,14.0,m,ethiopian,ethiopia,no,8,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,service,jemo,30-60,first child,2.0,jemo 2,eth-lang,no,8.5,authoritative,0.0,none,4.5,88.75,97.2,100.0,100.0,99.33,96.65,93.89,95.5,93.66,94.12,94.48,99.0,93.2,94.92,95.8,,,,,,,,middleschool
94,a,13.0,f,ethiopian,ethiopia,yes,8,paid,both,a lot,agree,somehow agree,somehow agree,private,paulos,30-60,first child,2.0,neps,eth-lang,yes,10.0,authoritative,0.0,none,3.25,94.35,91.8,100.0,95.02,90.35,87.53,86.07,98.5,87.26,93.02,94.42,97.0,85.33,92.83,92.4,,,,,,,,middleschool
95,a,14.0,m,ethiopian,ethiopia,no,8,paid,both,little,agree,strongly agree,agree,private,sarbet,15-,middle child,3.0,intellectual,eth-lang,yes,8.5,authoritative,0.0,none,3.75,88.5,78.43,92.31,86.68,81.76,80.11,86.92,95.2,80.34,95.69,96.32,93.0,81.28,88.57,87.5,,,,,,,,middleschool
96,a,14.0,f,ethiopian,ethiopia,no,8,scholarship,both,a lot,strongly agree,agree,somehow agree,public,gelan,60+,middle child,0.0,abay,eth-lang,yes,5.5,authoritative,1.0,none,3.75,80.75,93.51,98.86,93.34,85.68,79.68,82.91,95.25,70.39,88.76,80.89,95.25,83.25,93.42,87.3,,,,,,,,middleschool
97,c,13.0,f,ethiopian,ethiopia,yes,8,paid,both,not much,somehow agree,somehow agree,disagree,private,zenebework,15-30,first child,1.0,school of nations,eth-lang,yes,7.0,authoritarian,0.0,none,2.25,88.55,88.5,95.23,98.29,86.51,78.98,77.11,92.7,81.32,86.79,96.2,90.5,92.85,88.63,88.7,,,,,,,,middleschool
98,a,14.0,m,ethiopian,ethiopia,no,8,scholarship,both,little,agree,somehow agree,agree,public,jemo,30-60,middle child,0.0,abay,eth-lang,no,8.0,authoritative,0.0,none,3.25,89.25,97.51,100.0,99.9,99.33,96.58,96.79,95.2,92.83,96.19,97.05,97.75,91.43,97.0,96.2,,,,,,,,middleschool
99,a,14.0,m,ethiopian,ethiopia,yes,8,paid,both,little,agree,somehow agree,somehow agree,private,lebu,30-60,middle child,1.0,southwest,eth-lang,yes,7.5,authoritative,1.0,phyemopsy,3.0,93.1,88.72,100.0,87.49,89.0,92.97,87.58,94.65,79.21,96.62,99.02,99.0,81.13,92.08,91.5,,,,,,,,middleschool
100,a,14.0,f,american,foriegn_soil,yes,8,paid,mother,a lot,disagree,somehow agree,strongly disagree,private,sarbet,15-30,first child,3.0,bingham,eth-lang,yes,6.0,authoritarian,0.0,none,2.25,95.0,100.0,68.2,52.74,87.5545614035088,76.16,77.45,95.5,79.66,100.0,93.91415929203536,93.6798245614035,,,82.7,,,,,,,,middleschool
101,a,14.0,m,ethiopian,ethiopia,yes,8,scholarship,both,little,disagree,agree,agree,public,china camp,30-60,middle child,1.0,abay,eth-lang,no,8.0,authoritative,1.0,phy,3.0,93.02,94.81,99.43,100.0,95.13,84.79,87.3,88.1,89.99,97.37,98.93,96.0,88.6,96.25,93.6,,,,,,,,middleschool
102,a,12.0,m,ethiopian,ethiopia,no,8,paid,mother,a lot,strongly agree,agree,strongly disagree,private,bole,15-30,first child,1.0,future talent,for-lang,yes,9.0,authoritarian,1.0,none,3.25,101.05,86.67,98.86,93.45,93.47,87.09,83.67,95.0,91.89,99.21,80.93,97.25,87.95,94.17,92.2,,,,,,,,middleschool
103,a,14.0,m,ethiopian,ethiopia,yes,8,scholarship,both,a lot,somehow agree,agree,agree,public,haile garment,60+,last child,3.0,kotari,eth-lang,no,7.0,authoritarian,1.0,phy,3.5,83.39,89.62,98.36,100.0,95.04,84.23,82.95,87.1,87.18,93.37,100.0,94.75,89.2,91.33,91.2,,,,,,,,middleschool
104,a,14.0,f,ethiopian,ethiopia,yes,8,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,service,tulu dimtu,30-60,middle child,1.0,nowzes,eth-lang,yes,10.0,authoritative,1.0,none,4.5,96.52,92.59,99.43,93.34,83.58,93.13,92.44,90.7,82.8,98.8,94.43,98.75,87.65,94.17,92.7,,,,,,,,middleschool
105,a,14.0,f,ethiopian,ethiopia,no,8,paid,both,a lot,strongly agree,agree,strongly agree,private,lebu,30-60,middle child,1.0,intellectual,eth-lang,yes,10.0,authoritative,0.0,none,4.25,103.32,90.72,100.0,84.83,96.25,88.74,93.68,99.4,96.66,99.14,99.14,99.0,91.0,94.92,95.5,,,,,,,,middleschool
106,a,14.0,f,ethiopian,ethiopia,yes,8,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,lebu,30-60,first child,2.0,school of nations,eth-lang,yes,9.0,authoritative,0.0,none,4.5,100.02,86.47,99.43,83.69,95.69,79.47,84.65,97.2,85.08,100.0,96.57,98.0,89.85,89.67,91.8,,,,,,,,middleschool
107,a,14.0,m,ethiopian,ethiopia,yes,8,paid,both,a lot,strongly agree,strongly agree,somehow agree,service,kality,30-60,last child,3.0,gibson,eth-lang,yes,8.0,authoritative,0.0,none,4.0,99.78,87.33,99.75,99.9,91.58,77.98,88.36,96.8,92.15,97.64,96.79,97.25,88.2,92.08,93.3,,,,,,,,middleschool
108,a,14.0,f,ethiopian,ethiopia,no,8,scholarship,both,a lot,agree,strongly agree,agree,service,jemo,30-60,first child,1.0,jemo 2,eth-lang,no,8.0,authoritative,0.0,none,4.0,96.71,94.71,100.0,100.0,94.45,89.94,91.68,96.5,91.51,95.89,100.0,99.0,92.8,92.88,95.4,,,,,,,,middleschool
109,a,14.0,m,ethiopian,ethiopia,yes,8,paid,both,a lot,agree,agree,somehow agree,private,jemo,30-60,middle child,3.0,beteseb academy,eth-lang,yes,8.0,authoritative,0.0,none,3.5,95.84,86.42,95.69,74.21,84.67,96.38,82.69,85.15,74.71,92.34,96.14,88.0,93.4,95.67,88.7,,,,,,,,middleschool
110,c,13.0,f,american,foriegn_soil,no,8,paid,mother,little,somehow agree,strongly disagree,somehow agree,private,bole,30-60,first child,1.0,hilltops,eth-lang,yes,9.5,authoritarian,0.0,none,2.25,89.56,96.31,88.0,79.97,74.9,70.63,65.71,99.75,77.22,95.94,96.14,89.75,78.5,85.57,84.9,,,,,,,,middleschool
111,a,14.0,f,ethiopian,ethiopia,no,8,paid,both,little,somehow agree,strongly agree,agree,private,weyra,30-60,first child,1.0,neps,eth-lang,no,9.0,authoritative,0.0,none,3.5,99.18,93.37,99.5,99.83,94.29,95.04,95.08,99.75,93.98,94.06,96.57,96.75,91.75,96.25,96.1,,,,,,,,middleschool
112,c,13.0,f,american,foriegn_soil,no,8,paid,both,a lot,somehow agree,somehow agree,somehow agree,private,gola,15-30,first child,0.0,online,eth-lang,yes,8.0,authoritarian,0.0,none,3.0,101.19,94.12,94.77,64.87,82.84,71.97,61.3,100.5,71.61,97.09,92.71,95.5,75.85,76.93,84.4,,,,,,,,middleschool
113,b,12.0,f,american,foriegn_soil,yes,8,paid,mother,a lot,agree,somehow agree,strongly disagree,private,kality,60+,middle child,3.0,lycee,eth-lang,yes,5.5,authoritarian,1.0,psyemo,2.75,98.03,73.81,94.31,46.71,74.06,69.84,64.1,101.65,69.54,97.44,100.0,86.0,85.6,78.07,81.4,,,,,,,,middleschool
114,b,14.0,f,ethiopian,ethiopia,yes,8,scholarship,other,a lot,strongly agree,strongly agree,strongly agree,service,kality,60+,first child,0.0,abay,eth-lang,yes,8.0,authoritative,1.0,none,4.5,81.06,92.77,96.89,93.37,82.77,76.6,78.98,98.05,78.66,93.7,98.07,97.5,86.8,84.89,88.6,,,,,,,,middleschool
115,b,15.0,m,ethiopian,ethiopia,no,9,paid,both,little,agree,agree,somehow agree,public,zenebework,30-60,middle child,2.0,passion,eth-lang,no,7.0,authoritative,0.0,phy,3.25,93.67,96.58,,,71.31,70.56,,,,,64.9,,44.7,72.76,74.3,76.75,66.37,73.02,72.19,87.43,76.26,72.6,highschool
116,a,14.0,m,ethiopian,ethiopia,no,9,paid,both,little,agree,strongly agree,somehow agree,private,zenebework,15-,middle child,3.0,gibson,eth-lang,no,7.5,authoritative,0.0,none,3.5,94.33,84.84,,,80.42,62.57,,,,,86.0,,77.2,70.85,77.9,77.52,69.77,74.17,81.65,76.48,77.16,75.9,highschool
117,a,14.0,m,ethiopian,ethiopia,no,9,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,public,cmc,30-60,first child,3.0,dr bekele,eth-lang,no,7.5,authoritative,0.0,none,4.5,91.67,97.18,,,94.27,97.16,,,,,89.5,,97.9,85.77,92.2,88.27,96.27,95.33,83.4,93.05,88.76,92.6,highschool
118,a,15.0,f,ethiopian,ethiopia,no,9,paid,both,a lot,strongly agree,strongly agree,strongly agree,service,megenagna,30-60,last child,3.0,magic carpet,eth-lang,no,8.0,permissive,1.0,none,4.5,91.0,96.15,,,88.55,72.55,,,,,84.0,,76.7,67.95,80.8,73.81,79.35,78.5,75.03,83.81,83.16,78.1,highschool
119,a,14.0,m,ethiopian,ethiopia,yes,9,paid,both,a lot,agree,agree,agree,private,bole bulbula,30-60,middle child,0.0,school of nations,eth-lang,no,8.5,authoritative,0.0,none,3.75,97.67,94.1,,,92.66,90.6,,,,,93.25,,71.97,76.69,87.5,91.77,84.72,85.04,84.3,88.48,85.66,84.9,highschool
120,a,15.0,f,ethiopian,ethiopia,yes,9,paid,both,a lot,agree,somehow agree,agree,private,piassa,15-30,first child,0.0,ethio-parents,eth-lang,no,7.5,authoritative,0.0,none,3.5,95.67,92.73,,,90.39,82.26,,,,,85.25,,76.33,72.29,85.3,91.77,82.97,80.54,79.73,88.19,90.56,82.2,highschool
121,a,14.0,f,british,ethiopia,yes,9,scholarship,both,a lot,agree,strongly agree,strongly agree,private,old airport,15-,last child,2.0,greek school,for-lang,yes,8.0,authoritative,0.0,none,4.25,99.33,150.03,,,87.11,60.26,,,,,88.25,,68.87,53.91,84.7,90.77,75.97,77.88,77.15,79.33,91.96,74.1,highschool
122,c,15.0,m,american,ethiopia,yes,9,paid,both,little,agree,agree,somehow agree,private,gulele,15-30,last child,3.0,greek school,eth-lang,yes,8.0,authoritarian,0.0,none,3.25,91.0,78.69,,,83.55,70.76,,,,,89.5,,72.77,73.57,79.4,81.94,73.32,71.88,81.2,73.4,90.26,76.0,highschool
123,a,15.0,m,ethiopian,ethiopia,no,9,scholarship,both,little,agree,somehow agree,agree,service,jemo,30-60,middle child,3.0,stanford,eth-lang,no,7.5,authoritative,0.0,none,3.25,94.33,91.55,,,79.65,60.35,,,,,90.25,,64.33,72.63,77.2,69.02,67.59,74.88,73.86,76.62,88.36,73.1,highschool
124,a,14.0,m,american,ethiopia,yes,9,paid,father,a lot,somehow agree,somehow agree,somehow agree,private,bethel,15-,last child,0.0,briscoe junior high,for-lang,yes,9.0,authoritative,0.0,none,3.0,94.67,92.5,,,77.41,64.79,,,,,92.5,,71.7,61.99,79.2,86.02,67.02,78.21,79.74,86.75,75.76,75.6,highschool
125,a,14.0,m,ethiopian,ethiopia,no,9,paid,both,a lot,strongly agree,agree,strongly agree,private,bethel,15-,first child,1.0,beteseb academy,eth-lang,yes,10.0,authoritative,0.0,none,4.25,98.33,95.55,,,95.38,89.48,,,,,88.75,,85.5,74.54,88.5,87.52,87.54,84.04,83.69,91.05,89.36,86.8,highschool
126,a,15.0,f,ethiopian,ethiopia,no,9,paid,both,a lot,strongly agree,strongly agree,strongly agree,service,jemo,30-60,last child,2.0,jemo 2,eth-lang,no,7.0,authoritative,0.0,none,4.5,98.33,97.61,,,90.76,92.95,,,,,89.0,,91.7,82.61,92.4,92.27,100.0,89.21,92.14,92.86,92.06,92.5,highschool
127,a,14.0,f,ethiopian,ethiopia,yes,9,paid,mother,little,somehow agree,somehow agree,disagree,private,sarbet,15-,first child,2.0,intellectual,for-lang,no,6.0,authoritarian,0.0,none,2.5,96.67,74.09,,,85.95,62.7,,,,,87.75,,71.57,64.62,79.2,89.68,74.93,74.88,76.67,84.95,85.56,75.9,highschool
128,a,15.0,f,ethiopian,ethiopia,no,9,paid,both,a lot,agree,agree,agree,private,piassa,15-30,first child,2.0,reach ic,eth-lang,yes,7.0,authoritative,0.0,none,3.75,94.67,84.37,,,85.36,70.89,,,,,83.75,,73.87,70.29,81.0,87.13,83.74,74.21,73.8,80.38,90.66,77.7,highschool
129,a,15.0,f,ethiopian,ethiopia,no,9,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,german square,30-60,first child,3.0,intellectual,eth-lang,no,8.0,authoritative,0.0,none,4.5,99.0,88.6,,,93.34,93.37,,,,,90.5,,93.07,79.76,91.6,94.77,91.46,95.33,86.4,92.76,92.06,91.4,highschool
130,a,15.0,f,ethiopian,ethiopia,no,9,scholarship,both,a lot,strongly agree,agree,agree,public,lafto,30-60,last child,1.0,tehadiso,eth-lang,no,8.0,authoritarian,1.0,none,4.0,96.67,100.0,,,91.74,93.42,,,,,92.0,,88.67,81.94,92.6,92.27,97.8,92.67,90.99,93.05,92.16,91.9,highschool
131,b,15.0,m,ethiopian,ethiopia,no,9,paid,both,not much,disagree,somehow agree,disagree,private,total,15-,first child,3.0,neps,for-lang,no,9.0,authoritarian,1.0,none,2.0,89.33,80.27,,,77.9,59.72,,,,,91.0,,73.33,69.02,75.2,69.02,67.5,70.67,73.97,73.0,83.26,72.1,highschool
132,a,14.0,f,ethiopian,ethiopia,no,9,paid,both,a lot,somehow agree,agree,somehow agree,private,jemo,15-30,first child,2.0,neps,eth-lang,no,7.0,authoritative,0.0,none,3.25,98.33,95.95,,,91.32,83.44,,,,,89.25,,87.5,74.58,89.8,94.77,89.88,90.33,86.93,92.1,93.26,87.9,highschool
133,b,14.0,m,ethiopian,ethiopia,yes,9,paid,both,a lot,agree,strongly agree,disagree,private,german square,30-60,first child,3.0,intellectual,eth-lang,yes,7.0,authoritarian,1.0,phyemo,3.5,95.67,89.24,,,84.73,79.32,,,,,89.0,,77.0,69.63,83.3,80.52,75.71,82.67,83.33,92.38,83.96,82.0,highschool
134,c,15.0,m,ethiopian,ethiopia,no,9,paid,father,a lot,somehow agree,disagree,somehow agree,private,summit,60+,first child,3.0,andinet,eth-lang,yes,8.0,authoritarian,1.0,none,2.75,94.67,81.73,,,79.43,63.72,,,,,87.25,,66.37,63.34,74.0,74.52,64.79,73.83,65.05,75.62,71.96,70.9,highschool
135,a,18.0,m,ethiopian,ethiopia,no,9,scholarship,other,a lot,strongly agree,strongly agree,strongly agree,on foot,jemo,60+,first child,3.0,jemo 2,eth-lang,no,7.0,authoritative,0.0,none,4.5,93.33,96.31,,,89.28,80.76,,,,,89.0,,87.47,79.96,87.5,86.52,85.29,85.33,85.88,87.14,91.46,85.6,highschool
136,a,14.0,f,ethiopian,ethiopia,yes,9,paid,both,a lot,strongly agree,agree,somehow agree,private,gerji,30-60,last child,3.0,flipper,eth-lang,yes,7.0,authoritative,0.0,phys,3.75,98.67,87.55,,,93.55,84.63,,,,,90.25,,80.8,78.74,89.4,94.77,90.05,87.83,89.23,92.38,93.86,87.8,highschool
137,a,15.0,f,ethiopian,ethiopia,no,9,scholarship,both,a lot,strongly agree,strongly agree,agree,service,lafto,60+,last child,2.0,bgis,eth-lang,no,5.5,authoritative,0.0,none,4.25,97.0,98.78,,,99.31,94.02,,,,,94.9,,92.13,84.41,94.6,91.77,98.46,90.83,94.49,95.05,98.56,93.3,highschool
138,a,15.0,m,ethiopian,ethiopia,yes,9,paid,both,little,somehow agree,somehow agree,somehow agree,private,ayertena,15-30,first child,3.0,school of tomorrow,eth-lang,no,8.0,authoritative,1.0,physical,2.75,92.67,89.95,,,89.14,72.24,,,,,82.25,,81.33,70.86,82.9,84.77,76.86,77.33,87.29,82.57,91.06,80.1,highschool
139,a,14.0,m,ethiopian,ethiopia,no,9,paid,both,a lot,agree,strongly agree,somehow agree,private,furi,30-60,first child,2.0,flipper,eth-lang,yes,7.0,authoritarian,0.0,none,3.75,92.4,83.73,,,88.48883040935674,83.67,,,,,94.32,,63.33,81.25,84.6,81.38,79.36,96.33,88.38,87.94801169590646,86.72,83.5,highschool
140,a,14.0,m,ethiopian,ethiopia,no,9,paid,both,a lot,strongly agree,strongly agree,somehow agree,private,lebu,30-60,first child,3.0,gibson,eth-lang,no,7.0,authoritative,0.0,none,4.0,97.0,98.0,,,87.15,91.21,,,,,94.0,,87.49,80.48,92.0,95.5,95.73,92.17,89.08,92.0,96.4,90.6,highschool
141,a,14.0,f,ethiopian,ethiopia,yes,9,paid,both,a lot,agree,strongly agree,somehow agree,private,zenebework,15-30,middle child,2.0,gibson,eth-lang,yes,7.5,authoritative,0.0,none,3.75,97.33,87.51,,,72.06,76.65,,,,,93.25,,87.73,74.29,86.9,97.5,91.88,78.67,86.39,90.38,96.16,85.4,highschool
142,a,16.0,m,ethiopian,ethiopia,no,9,scholarship,mother,a lot,strongly agree,agree,strongly agree,public,mercato,30-60,last child,2.0,kale,eth-lang,no,6.0,authoritative,0.0,emotional,4.25,98.0,100.0,,,98.53,100.0,,,,,95.5,,100.0,97.9,98.3,97.5,100.0,100.0,97.49,96.1,97.4,98.7,highschool
143,a,15.0,f,ethiopian,ethiopia,no,9,paid,both,a lot,strongly agree,strongly agree,agree,service,legetafo,30-60,first child,0.0,gibson,eth-lang,yes,8.0,authoritative,1.0,none,4.25,95.33,91.47,,,79.29,75.01,,,,,90.0,,75.1,73.78,85.9,93.5,87.93,80.67,89.02,90.57,95.15,83.4,highschool
144,a,15.0,m,ethiopian,ethiopia,no,9,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,cmc,60+,first child,2.0,andinet,eth-lang,yes,9.0,authoritative,0.0,none,4.5,79.0,93.29,,,77.26,71.36,,,,,89.25,,79.73,72.92,79.1,77.15,68.98,77.0,74.59,77.71,89.69,75.2,highschool
145,b,14.0,f,american,ethiopia,yes,9,paid,both,little,agree,agree,disagree,private,german square,15-30,last child,3.0,intellectual,for-lang,yes,7.0,authoritative,1.0,-,3.0,81.67,60.04,,,77.72,60.68,,,,,73.68,,60.43,58.95,70.7,80.0,66.47,68.83,72.89,74.65,83.14,68.1,highschool
146,b,14.0,f,ethiopian,ethiopia,yes,9,paid,both,little,agree,agree,disagree,private,sarbet,15-30,first child,3.0,rice,for-lang,yes,7.0,authoritative,1.0,-,3.0,95.0,90.8,,,75.04,60.09,,,,,75.93,,68.42,59.41,75.7,83.33,63.9,72.67,77.57,84.1,77.3,72.6,highschool
147,a,15.0,f,ethiopian,ethiopia,no,9,scholarship,other,not much,strongly agree,strongly agree,agree,public,hana mariam,60+,first child,1.0,sinzero,eth-lang,no,8.0,authoritative,0.0,none,3.75,95.33,100.0,,,93.72,92.92,,,,,94.0,,95.11,83.77,92.5,89.83,91.32,87.5,91.52,92.86,94.24,91.3,highschool
148,b,15.0,m,ethiopian,ethiopia,no,9,paid,both,a lot,strongly agree,strongly agree,agree,private,lebu,15-30,middle child,3.0,andinet,eth-lang,yes,8.0,authoritative,0.0,none,4.25,96.67,86.84,,,93.63,94.94,,,,,92.63,,89.65,83.69,91.3,96.5,93.57,89.0,85.91,92.38,91.5,90.7,highschool
149,a,15.0,f,ethiopian,ethiopia,no,9,paid,both,a lot,strongly agree,somehow agree,agree,private,kolfe,15-,first child,3.0,hilltops,eth-lang,no,9.0,authoritative,0.0,none,3.75,96.33,99.0,,,86.65,76.31,,,,,91.13,,85.36,74.26,88.9,90.29,92.86,88.33,91.72,88.1,95.15,86.7,highschool
150,a,14.0,f,ethiopian,ethiopia,no,9,scholarship,both,a lot,strongly agree,strongly agree,agree,public,weyra,15-30,first child,1.0,yemane birhan,eth-lang,no,8.0,authoritative,0.0,none,4.25,95.33,100.0,,,86.23,92.42,,,,,93.38,,91.0,82.89,93.1,91.15,100.0,90.33,94.53,93.9,99.0,92.6,highschool
151,b,15.0,m,ethiopian,ethiopia,no,9,paid,both,a lot,agree,strongly agree,somehow agree,private,jemo,30-60,first child,2.0,bgis,eth-lang,no,8.0,authoritative,0.0,none,3.75,96.0,90.48,,,80.12,77.67,,,,,88.88,,85.62,75.71,86.2,86.5,87.36,85.0,83.51,90.38,92.9,85.2,highschool
152,a,15.0,f,ethiopian,ethiopia,no,9,scholarship,mother,a lot,strongly agree,strongly agree,strongly agree,public,jemo,30-60,first child,2.0,jemo 2,eth-lang,no,6.0,authoritative,0.0,none,4.5,93.67,97.6,,,91.5,87.63,,,,,93.38,,93.84,76.96,92.5,94.33,97.65,93.17,93.01,90.38,98.86,90.8,highschool
153,a,15.0,f,ethiopian,ethiopia,no,9,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,public,ashewa meda,30-60,middle child,2.0,meserete edget,eth-lang,yes,9.0,authoritative,0.0,none,4.5,96.67,98.15,,,96.13,98.13,,,,,95.63,,98.33,86.3,96.0,95.0,100.0,94.0,95.2,95.24,99.57,95.5,highschool
154,a,16.0,f,ethiopian,ethiopia,no,9,scholarship,mother,little,agree,somehow agree,somehow agree,public,kality,60+,last child,3.0,atse tewedros,eth-lang,no,7.0,permissive,0.0,none,3.0,91.67,96.55,,,70.44,84.52,,,,,92.0,,80.52,78.06,84.4,78.5,84.15,85.67,82.96,82.95,89.53,83.8,highschool
155,a,16.0,f,ethiopian,ethiopia,no,9,scholarship,other,little,agree,strongly agree,strongly agree,public,gofa,30-60,last child,2.0,gofa ps,eth-lang,no,7.0,authoritative,0.0,none,4.0,96.0,95.18,,,85.1,95.2,,,,,99.0,,96.77,86.37,94.8,96.5,100.0,97.83,93.34,92.38,99.0,94.7,highschool
156,a,14.0,f,ethiopian,ethiopia,yes,9,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,gulele,15-30,middle child,3.0,gibson,eth-lang,yes,10.0,authoritative,0.0,none,4.5,90.67,92.02,,,72.56,70.61,,,,,88.13,,72.36,70.09,80.4,86.5,75.17,79.0,78.07,79.81,90.0,77.0,highschool
157,a,15.0,f,ethiopian,ethiopia,no,9,paid,both,a lot,somehow agree,somehow agree,agree,private,sarbet,15-30,middle child,2.0,southwest,eth-lang,no,6.5,authoritative,1.0,none,3.25,91.67,95.99,,,74.92,74.12,,,,,91.13,,76.88,74.74,85.1,97.65,84.87,81.67,85.39,83.62,93.06,81.6,highschool
158,a,16.0,f,ethiopian,ethiopia,no,9,scholarship,both,a lot,strongly agree,somehow agree,agree,service,kality,60+,first child,1.0,biruh tesfa,eth-lang,no,7.0,authoritative,0.0,none,3.75,97.0,100.0,,,79.68,97.38,,,,,94.25,,94.4,89.3,94.6,96.83,100.0,94.33,92.8,95.71,97.72,95.1,highschool
159,a,15.0,m,ethiopian,ethiopia,no,9,scholarship,both,a lot,agree,strongly agree,agree,public,gofa,30-60,middle child,1.0,gofa ps,eth-lang,no,8.0,authoritative,0.0,none,4.0,94.33,97.02,,,75.1,89.75,,,,,95.13,,82.52,79.17,88.4,92.15,84.42,94.0,82.13,90.38,93.65,87.1,highschool
